SECUCODE,SECURITY_CODE,INDUSTRY_CODE,ORG_CODE,SECURITY_NAME_ABBR,INDUSTRY_NAME,MARKET,SECURITY_TYPE_CODE,TRADE_MARKET_CODE,DATE_TYPE_CODE,REPORT_TYPE_CODE,DATA_STATE,NOTICE_DATE,REPORT_DATE,TOTAL_ASSETS,FIXED_ASSET,MONETARYFUNDS,MONETARYFUNDS_RATIO,ACCOUNTS_RECE,ACCOUNTS_RECE_RATIO,INVENTORY,INVENTORY_RATIO,TOTAL_LIABILITIES,ACCOUNTS_PAYABLE,ACCOUNTS_PAYABLE_RATIO,ADVANCE_RECEIVABLES,ADVANCE_RECEIVABLES_RATIO,TOTAL_EQUITY,TOTAL_EQUITY_RATIO,TOTAL_ASSETS_RATIO,TOTAL_LIAB_RATIO,CURRENT_RATIO,DEBT_ASSET_RATIO,CASH_DEPOSIT_PBC,CDP_RATIO,LOAN_ADVANCE,LOAN_ADVANCE_RATIO,AVAILABLE_SALE_FINASSET,ASF_RATIO,LOAN_PBC,LOAN_PBC_RATIO,ACCEPT_DEPOSIT,ACCEPT_DEPOSIT_RATIO,SELL_REPO_FINASSET,SRF_RATIO,SETTLE_EXCESS_RESERVE,SER_RATIO,BORROW_FUND,BORROW_FUND_RATIO,AGENT_TRADE_SECURITY,ATS_RATIO,PREMIUM_RECE,PREMIUM_RECE_RATIO,SHORT_LOAN,SHORT_LOAN_RATIO,ADVANCE_PREMIUM,ADVANCE_PREMIUM_RATIO
000802.SZ,000802,016039,10005702,北京文化,文化传媒,szzb,058001001,069001002001,002,001,2,2020-04-29 00:00:00,2019-06-30 00:00:00,6381447490.69,3107060.04,218424973.57,-68.122363947,96279871.48,-84.2515041659,1277633387.39,106.3209528002,1578435076.43,363259923.91,48.7063651919,676337255.74,134.4223630457,4803012414.26,-0.4962090793,17.4298635628,159.9108552148,260.1743853235,24.7347498939,,,,,,,,,,,,,,,,,,,,,,,,
002267.SZ,002267,016006,10038318,陕天然气,公用事业,zxb,058001001,069001002003,002,001,2,2020-04-28 00:00:00,2019-06-30 00:00:00,11881832468.58,7258170658.05,939441387.73,-33.9761264215,534216482.18,-37.0237841162,148484074.85,-0.5846414806,5941064890.86,1607981110.66,-9.9736915527,337063955.66,17.2195835181,5940767577.72,2.5423731561,2.837415545,3.1341457749,35.7292123344,50.0012511249,,,,,,,,,,,,,,,,,,,,,,,,
002255.SZ,002255,016043,10125361,*ST海陆,机械行业,zxb,058001001,069001002005,002,001,2,2020-04-28 00:00:00,2019-06-30 00:00:00,7543440133.44,1241741454.32,466437715.99,-31.2117469707,1959923843.22,4.2888190561,928297828.49,-28.0286412196,3472506093.34,614051032.73,-13.2657943454,803395730.27,5.8027315437,4070934040.1,-5.0979723385,1.6569646917,10.9119376713,168.1571231424,46.0334546561,,,,,,,,,,,,,,,,,,,,,,,,
300324.SZ,300324,016057,10197802,旋极信息,软件服务,cyb,058001001,069001002002,002,001,2,2020-04-25 00:00:00,2019-06-30 00:00:00,7677703558.17,356141698.04,2218644245.29,18.4736823448,1172477782.76,9.622896879,997407556.08,16.2975467071,2511453095.33,851346830.63,3.8780731528,455062127.39,3.2402743283,5166250462.84,-1.8895417249,2.1166443401,11.4807446736,202.6066434458,32.7109932847,,,,,,,,,,,,,,,,,,,,,,,,
300056.SZ,300056,016048,10138730,中创环保,环保工程,cyb,058001001,069001002002,002,001,2,2020-04-22 00:00:00,2019-06-30 00:00:00,2764383261.47,401843085.88,165832430.25,-27.2388692313,381687469.75,-31.0270109456,1021335954.21,125.3164104287,1827438545.1,382732544.95,27.3479333643,1029620826.18,148.0569911475,936944716.37,-31.5401382042,3.6616625241,40.7744862219,105.500306839,66.1065551427,,,,,,,,,,,,,,,,,,,,,,,,
600877.SH,600877,016022,10004321,ST电能,电子元件,shzb,058001001,069001001003,002,001,2,2020-04-11 00:00:00,2019-06-30 00:00:00,403347326.91,67706698.25,90897446.86,-11.6402516426,73515977.42,-21.3294417756,139394827.99,136.7028404592,140857037.39,78616508.44,-52.599784909,7479990.12,-91.2589783663,262490289.52,267.4121740891,-61.0649201831,-88.1904778301,231.3435313266,34.9220207976,,,,,,,,,,,,,,,,,,,,,,,,
300234.SZ,300234,016040,10165016,开尔新材,材料行业,cyb,058001001,069001002002,002,001,2,2020-04-07 00:00:00,2019-06-30 00:00:00,1218374419.07,220396785.99,76104251.41,-11.7765793624,226640748.68,-5.2499568292,184416969.64,-5.1384330608,317671208.06,64795951.1,-16.9270943305,100218494.14,30.6275540475,900703211.01,-10.0858078408,2.1140538188,65.9601468034,230.4290379063,26.0733648941,,,,,,,,,,,,,,,,,,,,,,,,
002166.SZ,002166,016024,10084958,莱茵生物,医药制造,zxb,058001001,069001002003,002,001,2,2020-04-03 00:00:00,2019-06-30 00:00:00,2585943183.9,553841392.87,373105809.43,2141.1177366854,105574685.28,26.3426513584,1071844991.42,-32.5340043453,863663389.44,308124374.42,-18.0223717723,1947111.15,-99.7293916433,1722279794.46,56.4136410762,-0.9396198995,-42.7797172195,228.0116573253,33.3983899885,,,,,,,,,,,,,,,,,,,,,,,,
600717.SH,600717,016016,10004027,天津港,港口水运,shzb,058001001,069001001001,002,001,2,2020-03-25 00:00:00,2019-06-30 00:00:00,36076343294.39,15501182037.02,5042276356.41,-20.8925604399,1762084775.06,3.8762761502,232865594.96,38.3352770434,14311492772.96,2098600924.44,25.1141470753,901974125.22,7.1198302912,21764850521.43,5.1048186788,0.4479365288,-5.8931627303,94.0164515563,39.670020479,,,,,,,,,,,,,,,,,,,,,,,,
003003.SZ,003003,016025,10498250,天元股份,造纸印刷,zxb,058001001,069001002003,002,001,2,2020-03-16 00:00:00,2019-06-30 00:00:00,867958895.97,172160637.06,87992491.27,-55.3603009698,217333127.46,,150128346.98,-8.4752821538,169257896.08,122350671.25,,4578484.37,5.211286666,698700999.89,12.8435949564,5.4348636789,-17.0473723712,330.8201411635,19.5006810652,,,,,,,,,,,,,,,,,,,,,,,,
603822.SH,603822,016041,10167784,嘉澳环保,化工行业,shzb,058001001,069001001001,002,001,2,2020-03-05 00:00:00,2019-06-30 00:00:00,1496168384.63,282773414.1,211230047.01,-11.0096720495,58462877.25,26.3304265946,328634120.89,33.1833436932,702369991.61,63631252.08,151.1157406897,6675926.39,-44.8190922055,793798393.02,4.5026440976,8.2378636914,12.7942450785,171.1375565726,46.9445818282,,,,,,,,,,,,,,,,,,,,,,,,
300819.SZ,300819,016010,10947275,聚杰微纤,纺织服装,cyb,058001001,069001002002,002,001,2,2020-03-02 00:00:00,2019-06-30 00:00:00,617097668.64,285168052.88,63590392.59,-50.1322397946,117773101.7,,93259313.69,27.5071894421,183320474.39,43029758.58,,610917.7,-21.7936711829,433777194.25,16.6269258559,25.2383378167,51.7517030316,157.0969997396,29.706881699,,,,,,,,,,,,,,,,,,,,,,,,
688086.SH,688086,016061,10493836,紫晶存储,专用设备,kcb,058001001,069001001006,002,001,2,2020-02-21 00:00:00,2019-06-30 00:00:00,1200229061.58,122074510.45,356139606.71,,389706792.15,,77458184.78,,422895473.46,49587139.26,,939022.44,,777333588.12,,,,293.6924522596,35.2345637176,,,,,,,,,,,,,,,,,,,,,,,,
300382.SZ,300382,016043,10182021,斯莱克,机械行业,cyb,058001001,069001002002,002,001,2,2020-02-21 00:00:00,2019-06-30 00:00:00,1862747924.59,278426129.05,242297495.21,90.9890823864,406332358.51,7.0836504653,580326140.39,21.8975673613,873502009.06,142449342.43,11.1792275853,101565224.26,-27.5950168284,989245915.53,0.3971078448,19.2726142501,51.5382319062,166.1069922466,46.8931945933,,,,,,,,,,,,,,,,,,,,,,,,
688396.SH,688396,016022,10008990,华润微,电子元件,kcb,058001001,069001001006,002,001,2,2020-02-18 00:00:00,2019-06-30 00:00:00,9530420425.36,3671770861.18,2338721923.51,,759559426.52,,1086413597.96,,3433427095.95,675724787.53,,117572745.68,,6096993329.41,,,,268.1329828759,36.0259772676,,,,,,,,,,,,,,,,,,,,,,,,
688233.SH,688233,016040,10000016117,神工股份,材料行业,kcb,058001001,069001001006,002,001,2,2020-02-17 00:00:00,2019-06-30 00:00:00,380543046.69,144217642.73,71530750.5,,20629032.03,,59977650.18,,28255687.93,17689067.5,,69250,,352287358.76,,,,1014.5087867166,7.4250963658,,,,,,,,,,,,,,,,,,,,,,,,
688177.SH,688177,016024,10000015716,百奥泰,医药制造,kcb,058001001,069001001006,002,001,2,2020-02-17 00:00:00,2019-06-30 00:00:00,1185377081.52,330358123.82,214166118.76,,,,39799961.47,,247154659.41,131321170.99,,6770916.4,,938222422.11,,,,142.8881838689,20.8502984631,,,,,,,,,,,,,,,,,,,,,,,,
688169.SH,688169,016019,10000016089,石头科技,家电行业,kcb,058001001,069001001006,002,001,2,2020-02-17 00:00:00,2019-06-30 00:00:00,1912527379,61294860,231986853,,444668180,,310102111,,826077146,694337228,,14667530,,1086450233,,,,220.3350064596,43.192957919,,,,,,,,,,,,,,,,,,,,,,,,
688200.SH,688200,016061,10000015721,华峰测控,专用设备,kcb,058001001,069001001006,002,001,2,2020-02-13 00:00:00,2019-06-30 00:00:00,399518157.7,16768630.35,220369832.11,,64972104.86,,40673127.7,,35510145.01,3862731.48,,14844019.87,,364008012.69,,,,1001.7580383857,8.8882430812,,,,,,,,,,,,,,,,,,,,,,,,
688090.SH,688090,016061,10540975,瑞松科技,专用设备,kcb,058001001,069001001006,002,001,2,2020-02-11 00:00:00,2019-06-30 00:00:00,1120258604.09,227973734.01,109904076.23,,212103184.57,,361687883.68,,622070257.07,122418216.87,,23051486.98,,498188347.02,,,,181.0127667689,55.5291657479,,,,,,,,,,,,,,,,,,,,,,,,
688398.SH,688398,016040,10460516,赛特新材,材料行业,kcb,058001001,069001001006,002,001,2,2020-02-05 00:00:00,2019-06-30 00:00:00,474190116.8,171435419.59,26509567.63,,102115415.1,,55951263.18,,184922381.37,51610475.34,,431896.79,,289267735.43,,,,165.3545644659,38.9975191001,,,,,,,,,,,,,,,,,,,,,,,,
688080.SH,688080,016061,10378531,映翰通,专用设备,kcb,058001001,069001001006,002,001,2,2020-02-05 00:00:00,2019-06-30 00:00:00,355951838.42,2367613.19,99599434.26,12.2486200865,120012491.85,,65802480.47,-10.761317984,76341469.23,57308857.49,,4172295.4,-75.3306930072,279610369.19,23.8734018723,17.584898595,-0.8504993732,422.8283534356,21.4471344126,,,,,,,,,,,,,,,,,,,,,,,,
