88,603045,福达合金,详细  数据,3420万,34.52,6.73亿,8.83,5.79亿,585万,2688万,1298万,6.48亿,2723万,3771万,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/603045.html
89,603026,石大胜华,详细  数据,2.25亿,70.45,23.41亿,-14.48,19.05亿,4758万,5932万,1250万,21.12亿,2.63亿,2.63亿,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/603026.html
90,601991,大唐发电,详细  数据,8.6亿,-36.89,450亿,-1.10,374亿,1917万,11.09亿,36.52亿,428亿,30.53亿,25.89亿,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/601991.html
91,601988,中国银行,详细  数据,1140亿,4.55,2767亿,10.06,-,-,682亿,-,1247亿,1521亿,1526亿,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/601988.html
92,601939,建设银行,详细  数据,1542亿,4.87,3615亿,6.08,-,-,751亿,-,1704亿,1911亿,1912亿,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/601939.html
93,601858,中国科传,详细  数据,1.38亿,22.73,10.36亿,12.62,7.22亿,6214万,1亿,-3073万,8.6亿,1.26亿,1.36亿,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/601858.html
94,601698,中国卫通,详细  数据,2.08亿,24.34,13.12亿,2.05,7.85亿,2530万,8935万,-742万,9.25亿,3.77亿,4.15亿,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/601698.html
95,601658,邮储银行,详细  数据,374亿,14.94,1416亿,6.95,-,-,723亿,-,1014亿,403亿,408亿,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/601658.html
96,601619,嘉泽新能,详细  数据,1.55亿,-1.80,5.62亿,4.09,2.33亿,-,1240万,1.48亿,3.95亿,1.63亿,1.63亿,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/601619.html
97,601519,大智慧,详细  数据,-7799万,-173.63,2.9亿,4.49,1.24亿,4404万,7786万,-1354万,2.83亿,1103万,-7192万,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/601519.html
98,601398,工商银行,详细  数据,1679亿,4.67,4429亿,14.32,-,-,829亿,-,2340亿,2089亿,2092亿,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/601398.html
99,601288,农业银行,详细  数据,1214亿,4.88,3232亿,5.51,-,-,832亿,-,1782亿,1450亿,1459亿,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/601288.html
100,601212,白银有色,详细  数据,2.99亿,104.93,267亿,19.31,254亿,1.16亿,4.21亿,6.01亿,266亿,4.98亿,4.97亿,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/601212.html
101,601162,天风证券,详细  数据,1.68亿,-27.50,18.14亿,34.55,-,-,12.04亿,-,16.03亿,2.12亿,2.64亿,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/601162.html
102,601058,赛轮轮胎,详细  数据,5.07亿,59.34,70.92亿,8.03,55.19亿,4.26亿,2.26亿,1.29亿,64.56亿,5.75亿,5.76亿,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/601058.html
103,601019,山东出版,详细  数据,7.62亿,2.11,41.86亿,-4.92,26.11亿,3.76亿,4.63亿,-1236万,34.63亿,7.58亿,7.63亿,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/601019.html
