71,688013,天臣医疗,详细,0.7,1.73亿,45.14,-,4201万,81.60,-,1.7864,44.91,0.5804,60.04,-,医疗行业,09-09,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/688013.html
72,300896,爱美客,详细,3.39,5.58亿,73.74,-,3.06亿,148.68,-,7.3215,44.01,3.4413,92.63,-,医疗行业,09-09,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/300896.html
73,003005,竞业达,详细,1.8762,6.77亿,31.26,-,1.49亿,43.03,-,5.7622,38.89,1.3121,48.74,-,软件服务,09-09,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/003005.html
74,871691,易景环境,详细,0.89,1亿,70.30,-,2801万,23.66,-,2.35,46.91,0.0624,67.47,10送5.80派1.00,-,09-08,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/871691.html
75,838724,精密科技,详细,0.3,4.09亿,5.41,-,3481万,-38.63,-,2.89,11.06,0.7523,25.34,10派0.80,-,09-08,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/838724.html
76,835085,ST凯米,详细,-0.1,60.69万,-58.65,-,-113万,67.12,-,-0.26,45.12,-0.0653,61.44,不分配不转增,-,09-08,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/835085.html
77,834259,ST中光,详细,-0.15,551万,132.42,-,-294万,35.99,-,-0.36,51.02,0.0622,71.31,不分配不转增,-,09-08,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/834259.html
78,832225,利通科技,详细,0.59,2.62亿,-4.87,-,3056万,28.69,-,4.69,13.36,0.6161,33.65,10派1.00,-,09-08,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/832225.html
79,605116,奥锐特,详细,0.52,5.82亿,1.08,-,1.86亿,36.03,-,2.7147,21.09,0.4997,51.30,-,医药制造,09-08,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/605116.html
80,605050,福然德,详细,0.78,54.81亿,-2.35,-,2.79亿,-5.23,-,5.0664,16.57,1.1383,9.41,-,交运物流,09-08,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/605050.html
81,601187,厦门银行,详细,0.72,45.09亿,7.73,-,17.11亿,21.41,-,6.4396,11.11,-3.2219,-,-,银行,09-08,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/601187.html
82,003010,若羽臣,详细,0.95,9.59亿,3.00,79.11,8632万,11.67,149.87,5.9575,17.25,0.1872,34.25,-,电子信息,09-08,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/003010.html
83,003003,天元股份,详细,0.62,10.04亿,-0.83,-,8269万,9.52,-,5.6216,11.75,0.5905,22.30,-,造纸印刷,09-08,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/003003.html
84,872789,龙冉股份,详细,-0.27,3048万,-13.56,-,-3532万,-34.30,-,0.24,-71.56,0.0486,18.89,不分配不转增,-,09-07,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/872789.html
85,835670,数字人,详细,0.6,1.12亿,50.63,-,3520万,48.10,-,2.78,24.33,0.5911,68.75,10派4.00,-,09-07,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/835670.html
86,300883,龙利得,详细,0.33,8.71亿,1.26,-,8600万,-3.10,-,3.6363,9.55,0.4518,26.70,-,造纸印刷,09-07,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/300883.html
87,003002,壶化股份,详细,0.51,5亿,9.36,-,7632万,15.89,-,4.0873,13.23,0.6257,48.22,-,化工行业,09-07,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/003002.html
88,838865,琪嘉日化,详细,-0.53,1.16亿,10.43,-,-1693万,-3098,-,0.93,-44.18,0.0614,7.59,不分配不转增,-,09-04,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/838865.html
89,835309,凯成股份,详细,-0.15,5094万,-20.52,-,-593万,-8.15,-,0.95,-16.62,-0.2481,19.42,不分配不转增,-,09-04,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/835309.html
90,835299,和正农牧,详细,1.39,9211万,47.26,-,2497万,34.94,-,2.64,71.34,3.9902,39.50,10送10.00,-,09-04,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/835299.html
91,835017,中研股份,详细,0.15,1.13亿,30.75,-,1331万,6.58,-,2.3,6.55,-0.0022,43.86,10派1.10,-,09-04,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/835017.html
92,834182,工大高科,详细,0.57,1.69亿,33.62,-,3723万,77.49,-,3.7466,12.58,0.3733,35.95,10派2.00,-,09-04,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/834182.html
93,833586,雷诺尔,详细,-0.02,2.36亿,-22.40,-,-472万,-337.09,-,2.48,-0.94,-0.0453,41.68,10派1.00,-,09-04,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/833586.html
94,833509,同惠电子,详细,0.4,9162万,-0.22,-,3252万,7.98,-,1.59,26.83,0.4213,60.09,10派2.50,-,09-04,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/833509.html
95,605198,德利股份,详细,0.473,8.38亿,-21.49,-,1.69亿,23.25,-,5.3421,9.17,0.0317,31.53,-,食品饮料,09-04,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/605198.html
